,n,ori,A'_MPI,A'_AW,A'_V,A'_¦Ñ,A'_VIP,A'_Ha,A'_EI,A'_NI,A'_DMD,A_MPI,A_EN,A_VIP,A_DMD,B_W,B_E(m&b,B_E(p),B_E(a&R) ,B_E,B_EI1,B_EI2,B_EI3,B_CPM,B_VEN,B_Tm,B_Tb,B_EV,B_EM,B_R,B_IR,X_W,X_IR
73,1,1,5.28917972,64.08216,82.38981,1.2916,-4.1846,12.5161,4.3563,-5.1671,8.3234,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
74,1,1,5.28917972,64.08216,82.38981,1.2916,-4.1846,12.5161,4.3563,-5.1671,8.3234,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,35.453,0.99
75,1,1,5.32558128,60.07849,78.07972,1.2777,-4.1208,11.7557,4.2521,-4.3137,0.001995,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
76,2,1,5.32558128,60.07849,78.07972,1.2777,-4.1208,11.7557,4.2521,-4.3137,0.001995,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
77,3,1,5.32558128,60.07849,78.07972,1.2777,-4.1208,11.7557,4.2521,-4.3137,0.001995,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
78,1,2,5.32558128,60.07849,78.07972,1.2777,-4.1208,11.7557,4.2521,-4.3137,0.001995,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
79,2,1,3.87047888,102.19817,170.1449,0.9974,12.8851,9.2036,3.7275,-2.4929,14.139948,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
80,3,1,3.87047888,102.19817,170.1449,0.9974,12.8851,9.2036,3.7275,-2.4929,14.139948,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
81,4,1,3.87047888,102.19817,170.1449,0.9974,12.8851,9.2036,3.7275,-2.4929,14.139948,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
82,1,1,5.10856108,62.09111,88.1032,1.1703,15.0224,11.1081,4.0354,-3.1735,6.625865,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
83,1,1,5.10856108,62.09111,88.1032,1.1703,15.0224,11.1081,4.0354,-3.1735,6.625865,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
84,2,1,4.61775882,74.14494,122.58399,1.0044,-3.657,11.2314,3.8278,-4.4539,6.400703,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
85,1,1,4.61775882,74.14494,122.58399,1.0044,-3.657,11.2314,3.8278,-4.4539,6.400703,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
86,1,1,3.53929125,228.0947,211.58268,1.7901,-3.78,7.5071,3.78,0.2681,28.556699,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
87,2,1,4.98577465,60.11832,100.16645,0.9966,16.4415,12.8001,3.9387,-5.6261,4.011718,4.98577465,4.978059915,16.4415,4.011718,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
88,4,1,4.61775882,74.14494,122.58399,1.0044,-3.657,11.2314,3.8278,-4.4539,6.400703,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
89,1,2,5.24984753,64.581905,81.578535,1.31305,5.4379,11.39045,4.16565,-3.9503,0.689099,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
90,2,3,6.11512817,32.06508,53.69619,0.9916,-4.0225,15.0258,4.4279,-8.0638,2.1661,6.11512817,0.37686461,-4.0225,2.1661,121.75,2.14,1.9,1.82,4.85,833.7,1595,2441,4.4,5,904,1908,165.8,39.7,0.57,0.625,126.905,0.65
91,2,3,6.11512817,32.06508,53.69619,0.9916,-4.0225,15.0258,4.4279,-8.0638,2.1661,6.11512817,0.37686461,-4.0225,2.1661,121.75,2.14,1.9,1.82,4.85,833.7,1595,2441,4.4,5,904,1908,165.8,39.7,0.57,0.625,96.421,0.763333333
92,1,1,6.11512817,32.06508,53.69619,0.9916,-4.0225,15.0258,4.4279,-8.0638,2.1661,0,0,0,0,112.411,1.4,1.7,1.46,4.33,867.7,1631,3616,4.05,12,594,1038,100,6.4,0.93,1.81,35.453,0.99
93,1,1,6.11512817,32.06508,53.69619,0.9916,-4.0225,15.0258,4.4279,-8.0638,2.1661,0,0,0,0,63.546,1.08,1.9,1.75,4.48,745.4,1958,3554,4.45,11,1356,2840,306.7,13,0.96,0.46,74.347625,0.47375
94,1,1,6.11512817,32.06508,53.69619,0.9916,-4.0225,15.0258,4.4279,-8.0638,2.1661,0,0,0,0,63.546,1.08,1.9,1.75,4.48,745.4,1958,3554,4.45,11,1356,2840,306.7,13,0.96,0.46,57.6785,0.695
